generation,evals,best_fitness,mean_fitness,params
35,350,1.911087e+02,2.196408e+02,"[0.5999567813418268, 0.2763890639703235, -0.2532948763785382, 0.00587928342613478, 0.26786842993563315, 0.723489507388735, 0.41385758907531134, -0.2224054640638653]"
36,360,1.856429e+02,2.157458e+02,"[0.596819625712445, 0.2916615207683315, -0.20384552334858894, -0.01734304530944907, 0.30395318289472134, 0.7183308595134974, 0.4116065075804417, -0.30398153247735676]"
37,370,1.729394e+02,2.036074e+02,"[0.6275684917622917, 0.29051123363134473, -0.19855759175316956, 0.019393138997860025, 0.3334762536874425, 0.7039340357517977, 0.3533349422811759, -0.2227173620484496]"
38,380,1.772417e+02,2.275498e+02,"[0.6241798618141255, 0.29530821282968645, -0.21665517000389753, 0.013034963589083778, 0.2624993856057677, 0.7001397806862554, 0.4090965342467957, -0.22468835899074113]"
39,390,2.116490e+02,2.262569e+02,"[0.6596254665194425, 0.2892854365904576, -0.19449226560019986, 0.033706216208285567, 0.28951151679347675, 0.7206983670957975, 0.37574860882614053, -0.22048677556185867]"
40,400,2.022248e+02,2.430412e+02,"[0.6645053993856442, 0.27756228545000694, -0.198505358151858, 0.03433572971851635, 0.3144314619362518, 0.7338176379637168, 0.3795108889972295, -0.20726536174893306]"
41,410,1.977190e+02,2.260995e+02,"[0.6540222041814453, 0.2707681061025028, -0.17719540821824534, 0.02337070546595769, 0.35506308332130027, 0.6870878515409313, 0.33646217810905715, -0.21210420731496205]"
42,420,1.897565e+02,2.047407e+02,"[0.6763310859516155, 0.2912900833570435, -0.16418888935261594, 0.030352558705867633, 0.3570379910436036, 0.70620104962476, 0.3372309880417465, -0.19728600098755766]"
43,430,1.850087e+02,2.239126e+02,"[0.6505431028445243, 0.3048866317583992, -0.2049276578694685, -0.0014316933478511992, 0.372857376479774, 0.7391205882299251, 0.35302643311429355, -0.20101862973876006]"
44,440,1.966986e+02,2.184700e+02,"[0.669004678243154, 0.30009438869338095, -0.174035627666073, -0.014577821316537534, 0.38252255882454067, 0.750229549189252, 0.3462994734392914, -0.23002270592865243]"
45,450,1.890440e+02,2.178893e+02,"[0.657829846667969, 0.30862926100807014, -0.20216988418924922, -0.04324138146430983, 0.3608799765723045, 0.7485611603305562, 0.3759354596699619, -0.2576014487567172]"
46,460,1.919187e+02,2.235700e+02,"[0.66676296352654, 0.30560141529079654, -0.21904662861201166, -0.05638168714036105, 0.34708969929403705, 0.7164820576404133, 0.33647018133840173, -0.23689349288271588]"
47,470,1.937795e+02,2.157174e+02,"[0.6568731010765934, 0.3028530487543187, -0.23180914065960526, -0.03382557525853385, 0.3307076898837008, 0.727389551335577, 0.3390766689271876, -0.21670736753107755]"
48,480,1.950586e+02,2.186115e+02,"[0.6786430185223337, 0.2984824437489517, -0.21107423266726358, -0.0566730838150493, 0.3362456018222989, 0.713532558549271, 0.3601543839412053, -0.23900341622090504]"
49,490,1.894256e+02,2.153380e+02,"[0.6815030489499788, 0.3049040312589458, -0.1974938728748354, -0.054939317269904385, 0.2963152890763427, 0.6851062598848238, 0.3524189158892829, -0.2615247479650993]"
50,500,1.975941e+02,2.303269e+02,"[0.6952679514460682, 0.2891295014763991, -0.19842721843194505, -0.05460295660239287, 0.30383250137504136, 0.6823575629186603, 0.34128198864391857, -0.2586823164663764]"
51,510,1.774437e+02,2.165690e+02,"[0.7121565271743499, 0.2932924501687073, -0.1988950353056675, -0.05609751334901771, 0.3216861364031248, 0.6786277013487406, 0.3329273203505607, -0.24491526925201154]"
