generation,evals,best_fitness,mean_fitness,params
1,8,9.511188e+01,6.766118e+04,"[0.30405405297925986, 0.18168321651010663, 0.11920950816782347, 0.13776352205589118]"
2,16,7.866260e+01,3.967610e+04,"[0.10689559762343248, 0.13302864359950833, 0.09767376998139646, -0.04465519043370257]"
3,24,7.785649e+01,4.584859e+04,"[0.05501391455971306, 0.1611533395191484, 0.02004473932213021, -0.0882205595849056]"
4,32,9.025266e+01,5.229601e+04,"[0.13384042137125723, 0.10403294604880756, 0.03932128083551463, -0.046658303076357724]"
5,40,8.978038e+01,1.568071e+04,"[0.15946275332693338, 0.14083070421282465, -0.010110401670866909, 0.04095895084353465]"
6,48,8.220391e+01,2.570327e+04,"[0.14226517021343482, 0.12878342852959623, 0.06118500546868547, -0.07828292530986712]"
7,56,7.378961e+01,7.181097e+03,"[0.08120893157997387, 0.13846216244869844, 0.035072139641031355, 0.000552189266510135]"
8,64,7.822802e+01,1.570263e+04,"[0.08491737013388216, 0.1559362820439586, -0.025880149468373418, -0.01025103281779026]"
9,72,7.394661e+01,8.283682e+01,"[0.10436514118051982, 0.1302292139241748, 0.013132329133223344, -0.030603233024788377]"
10,80,7.239676e+01,1.494029e+04,"[0.10246271570172208, 0.12832332301455518, 0.021410653010301758, -0.024304746742970916]"
11,88,7.223737e+01,4.768019e+03,"[0.11024637609644886, 0.14001357153222116, 0.04138643964669375, -0.02589394583535236]"
12,96,7.363786e+01,7.730379e+01,"[0.1316137393775931, 0.1571410488523427, 0.04246142410486997, -0.08419614671820574]"
13,104,7.247523e+01,9.594881e+03,"[0.11935527676905423, 0.15542283053810269, 0.022604399065593854, -0.11532884500760299]"
14,112,7.211127e+01,7.971400e+01,"[0.14517075126121814, 0.14255666952751753, 0.017523026694685626, -0.05539296649373861]"
15,120,7.225007e+01,7.658005e+01,"[0.16405868713695063, 0.1386561412307893, 0.016390706651760508, -0.07144877404603982]"
16,128,7.206042e+01,7.365571e+01,"[0.13506534069282222, 0.13952688096651772, 0.014657897216706031, -0.03474835165935995]"
17,136,7.137042e+01,7.325502e+01,"[0.12430003402646837, 0.145700692528567, 0.024380386763437734, -0.06278579219936377]"
18,144,7.090599e+01,7.192125e+01,"[0.12633154368486235, 0.14698700812476453, 0.018772224063306444, -0.05476092723734923]"
19,152,7.230301e+01,7.303017e+01,"[0.11712526421773906, 0.14658816843541234, 0.03234958283639512, -0.06990106953890242]"
20,160,7.147794e+01,7.236132e+01,"[0.1274861292147667, 0.14665205319725502, 0.014975251007822672, -0.057478269077577505]"
21,168,7.110301e+01,7.200353e+01,"[0.1348665034905721, 0.1458833624534534, 0.014030943515142662, -0.024951096003491127]"
22,176,7.083608e+01,7.182866e+01,"[0.13219407025735572, 0.14219425369692468, 0.004345783858272051, 0.017267126030723872]"
23,184,7.065621e+01,7.161317e+01,"[0.14234579214549287, 0.1444568443814421, 0.004884650685121002, 0.02550687988519602]"
24,192,7.124614e+01,7.208563e+01,"[0.14452952452387013, 0.13886662837898917, -0.008894361384608283, 1.0278893275064878e-05]"
25,200,7.117427e+01,7.200451e+01,"[0.12388333375509906, 0.14621842883218458, 0.003210614216802931, -0.0221731413639988]"
26,208,7.087261e+01,7.174292e+01,"[0.12264908770279603, 0.14927349369911452, 0.010098239075413979, -0.019380207696790868]"
27,216,7.097831e+01,7.172758e+01,"[0.12319084853760529, 0.14437563171681334, 0.00046562941651559844, -0.0073662978965252784]"
28,224,7.080703e+01,7.132991e+01,"[0.1292382666844137, 0.14415575982951517, 0.003302878569378341, 0.001418009925539335]"
29,232,7.078448e+01,7.128425e+01,"[0.13895512298154192, 0.14348348874765965, -0.002714242201096475, -0.0044731979253438275]"
30,240,7.099587e+01,7.133349e+01,"[0.14075378413042094, 0.1427878190897723, -0.008604723704401771, 0.008797782047340243]"
31,248,7.073562e+01,7.114436e+01,"[0.1412752932668674, 0.1408428114714878, -0.003288109992575102, 0.0010432650550599304]"
32,256,7.096750e+01,7.109373e+01,"[0.14120290812989028, 0.1435743487478579, -0.0005333255557504345, 0.004754102441011717]"
33,264,7.087756e+01,7.131578e+01,"[0.14039417590896341, 0.14299038869274427, -0.0019262924601609476, 0.005524050639971233]"
34,272,7.081059e+01,7.099799e+01,"[0.14012817585456638, 0.1426866620226287, -0.0002482201577852809, 0.012950024862820349]"
35,280,7.081001e+01,7.098150e+01,"[0.14228659829287513, 0.14133518658016514, -0.004505422316185464, 0.012957766237317652]"
36,288,7.062086e+01,7.097434e+01,"[0.1413357121953655, 0.14210087316475625, -0.00034832047588387386, 0.00704955542110035]"
37,296,7.034194e+01,7.097840e+01,"[0.1430141793584273, 0.14181635354595318, 0.0009582155376666007, 0.012492507610903196]"
38,304,7.073300e+01,7.095556e+01,"[0.1437868101258457, 0.14283716197106017, 0.002584860562070759, 0.018500736206558174]"
39,312,7.067976e+01,7.100555e+01,"[0.1447110219233312, 0.14343416136850323, 0.0012119969472481115, 0.01805853915899986]"
40,320,7.023463e+01,7.071295e+01,"[0.14675461541145418, 0.1417413436841475, -0.0019885876950335654, 0.019924798229669877]"
41,328,7.057314e+01,7.090408e+01,"[0.1458003236795975, 0.14208452119133436, 0.0007918850005669852, 0.02104720691063956]"
42,336,7.033521e+01,7.078887e+01,"[0.14732416653296201, 0.141670522503944, -0.001500877124481572, 0.021647208898630532]"
43,344,7.034718e+01,7.074121e+01,"[0.14884101203423633, 0.1412339675867632, -0.0014954282425315673, 0.024992634006122817]"
44,352,7.030186e+01,7.068490e+01,"[0.15020987359331078, 0.1414145165811141, -0.003070932449972011, 0.026001496643765692]"
45,360,7.058145e+01,7.073195e+01,"[0.15170129202084573, 0.1406326662189281, -0.004527828025428199, 0.02880324680985158]"
46,368,7.033188e+01,7.066116e+01,"[0.15331841727469853, 0.14022623023672898, -0.006787338698890898, 0.03041528462867076]"
47,376,7.073593e+01,7.086042e+01,"[0.1520414683881197, 0.14036576306611487, -0.00587088930076181, 0.02948494542958184]"
48,384,7.063830e+01,7.088920e+01,"[0.15062908011197568, 0.14034585694140095, -0.004322399023691801, 0.02386997016867517]"
49,392,7.020643e+01,7.052803e+01,"[0.1513490001867268, 0.14038784341472227, -0.0054661482790309135, 0.02780727515187214]"
50,400,7.027902e+01,7.059313e+01,"[0.1485037070261685, 0.14080099776782104, -0.002799472204589495, 0.025349410387451237]"
51,408,7.033467e+01,7.064361e+01,"[0.14808745738450002, 0.14097965255489342, -0.0027621472726163843, 0.02249907512341088]"
52,416,7.027379e+01,7.061442e+01,"[0.14964819106313795, 0.14101764746335232, -0.0037273948312633977, 0.026628892573656384]"
53,424,7.002568e+01,7.065881e+01,"[0.14830207052907515, 0.14095969986103185, -0.002516492656960433, 0.025539926510569553]"
54,432,7.041648e+01,7.059992e+01,"[0.14842283916390592, 0.14059573271773368, -0.0017124085989999732, 0.02617242152524495]"
55,440,7.029550e+01,7.053964e+01,"[0.14768347679871024, 0.1405914656606782, -0.0015766755645727237, 0.02520454344750732]"
56,448,7.018947e+01,7.070238e+01,"[0.1476290378700848, 0.14055041322447803, -0.001163894170158518, 0.0262300375692682]"
57,456,7.036662e+01,7.061727e+01,"[0.14771564284570707, 0.14039167239251174, -0.0005279975392941058, 0.025285826432761394]"
58,464,7.031163e+01,7.071470e+01,"[0.14690675114847757, 0.1408776197133389, -0.0002493317477532275, 0.024629694360459663]"
59,472,7.041869e+01,7.070812e+01,"[0.14701761714297126, 0.14079574825708113, -0.0010331170879366997, 0.02375304959958965]"
60,480,7.038450e+01,7.051080e+01,"[0.14831498322618936, 0.1404352873175126, -0.0020210648738511854, 0.0264605991911592]"
