generation,evals,best_fitness,mean_fitness,params
61,488,7.033211e+01,7.054526e+01,"[0.14883638234587845, 0.13987672096589732, -0.0019337614087485732, 0.028044574475717086]"
62,496,7.021905e+01,7.049453e+01,"[0.14960129215268708, 0.13917581748281238, -0.002798857005849007, 0.03045142312603978]"
63,504,7.032290e+01,7.064899e+01,"[0.14857725377660344, 0.13953852197604927, -0.0019917434255064467, 0.027683798780782684]"
64,512,7.036276e+01,7.059344e+01,"[0.14652732967556864, 0.14032506499923603, -0.0005115486138176579, 0.022719219552602483]"
65,520,7.035556e+01,7.065702e+01,"[0.1475732432696227, 0.14076509319743302, -0.001052464502492609, 0.025857594363379068]"
66,528,7.034587e+01,7.071233e+01,"[0.1472868427093049, 0.14117718880748564, -0.0010775633942970652, 0.02522290287264626]"
67,536,7.017231e+01,7.049857e+01,"[0.14733453171691152, 0.141073189333775, -0.0011295982359803395, 0.025590265333931148]"
68,544,7.024400e+01,7.048134e+01,"[0.14745596664104244, 0.14098552924539579, -0.001141195529151259, 0.0269825171574474]"
69,552,7.008413e+01,7.051359e+01,"[0.14756698071475946, 0.14094489083171022, -0.001321989261157066, 0.027363314738855903]"
70,560,7.027576e+01,7.052467e+01,"[0.1473910879360152, 0.14077526950043692, -0.0009184054241413548, 0.027281866309187577]"
71,568,7.006375e+01,7.047383e+01,"[0.1474465734135875, 0.1410028688882782, -0.0009332381101067736, 0.026887510754007627]"
72,576,7.024987e+01,7.045329e+01,"[0.14777530825797014, 0.14111142910052904, -0.0014225671729316994, 0.027799936378307237]"
73,584,7.021854e+01,7.045278e+01,"[0.14796399969949153, 0.14123710164664766, -0.0014919689230839827, 0.028362569040152823]"
74,592,7.017848e+01,7.048555e+01,"[0.14699485654549432, 0.14157114394167197, -0.0007769867420440658, 0.02677395898837334]"
75,600,7.003965e+01,7.046534e+01,"[0.1470416226303383, 0.14137698595738962, -0.0007231105057961197, 0.027719269623051768]"
76,608,7.029188e+01,7.055809e+01,"[0.14615463929368705, 0.14150704013929818, -7.74909680754131e-05, 0.026179711650344342]"
77,616,7.019612e+01,7.041435e+01,"[0.14696716363985268, 0.14178108409883833, -0.0008293684811930093, 0.028399283555676655]"
78,624,7.035956e+01,7.055499e+01,"[0.14670224247461056, 0.14193554892445528, -0.0005963995244477858, 0.028216532878319923]"
79,632,7.028634e+01,7.053242e+01,"[0.1472699669333391, 0.14175425364792082, -0.001284412513049453, 0.029825815151305165]"
80,640,7.032379e+01,7.054212e+01,"[0.14771846709054942, 0.14186880952582637, -0.0018054625647681531, 0.03267086221982763]"
81,648,7.007638e+01,7.045717e+01,"[0.14702628497921774, 0.14163177854116518, -0.0009595160019616181, 0.031065118788140725]"
82,656,7.018007e+01,7.043610e+01,"[0.147304649518573, 0.14145972333958617, -0.0009952912260204226, 0.033094176297455896]"
83,664,7.019659e+01,7.044496e+01,"[0.1476424076011706, 0.1414281182989343, -0.0013359692409808503, 0.03144996703562888]"
84,672,7.027383e+01,7.041598e+01,"[0.1475997197682527, 0.14168072838821164, -0.0012389344438960628, 0.03339342389844724]"
85,680,7.036137e+01,7.049916e+01,"[0.14799068349966074, 0.14187094748669588, -0.0014434104187756778, 0.03386591994732925]"
86,688,7.006311e+01,7.036453e+01,"[0.1475891230583939, 0.14144162163193852, -0.001005312916364636, 0.03137436991581134]"
87,696,7.015950e+01,7.046521e+01,"[0.14804342083433386, 0.14101710767379796, -0.0013372473009188323, 0.03182517028868127]"
88,704,7.020926e+01,7.050527e+01,"[0.14801075098444397, 0.14143744532118813, -0.0013581891538407614, 0.03289865524646905]"
89,712,7.014906e+01,7.040788e+01,"[0.14808481780513516, 0.14171906784770597, -0.001571482483262443, 0.032497561339115716]"
90,720,7.013914e+01,7.035957e+01,"[0.14803291931367651, 0.14187066684576946, -0.0014596176669555514, 0.03436762246300571]"
91,728,7.027375e+01,7.047152e+01,"[0.14830466017835525, 0.1417190869211148, -0.001708573831796146, 0.03539082388848949]"
92,736,7.012904e+01,7.039129e+01,"[0.14811785892998872, 0.14174819645631048, -0.0016107171736708301, 0.034307130076430235]"
93,744,7.010789e+01,7.032708e+01,"[0.14792799672586188, 0.14146704015933662, -0.0014121642239139987, 0.03443973029449081]"
94,752,7.027064e+01,7.043515e+01,"[0.14768078518858913, 0.14140104228592568, -0.0011607453299023428, 0.03389128525100668]"
95,760,7.022245e+01,7.036862e+01,"[0.14767092652347313, 0.1411221839284653, -0.0011086263217316057, 0.03416956237176871]"
96,768,7.026879e+01,7.042421e+01,"[0.14765775880259205, 0.1411994541941546, -0.0011712695303571128, 0.03374865793960001]"
97,776,7.011509e+01,7.033227e+01,"[0.14743291113350676, 0.14116883487145046, -0.0011168792267544593, 0.03180150943333879]"
98,784,7.008229e+01,7.040700e+01,"[0.14759052432059033, 0.1411302398500133, -0.001348375282060257, 0.03179649384768897]"
99,792,7.021341e+01,7.050119e+01,"[0.14734173251191726, 0.1409315344147277, -0.0011333567626371473, 0.031746037717717265]"
100,800,7.027539e+01,7.046767e+01,"[0.14705304812885373, 0.14089394159893384, -0.0007263247267378194, 0.03176198406440253]"
101,808,7.028881e+01,7.053261e+01,"[0.1471718790360974, 0.14094562147302014, -0.0009348843858527547, 0.0312763807083886]"
102,816,7.025139e+01,7.040765e+01,"[0.1471322839765341, 0.14102425163230595, -0.0010036003395464794, 0.03152661159625829]"
103,824,7.014244e+01,7.037115e+01,"[0.14736452979223663, 0.1410637574394022, -0.0012206093478918517, 0.03217694574721923]"
104,832,7.016301e+01,7.031040e+01,"[0.14712983524472853, 0.14097902251304373, -0.0009902032993562107, 0.03188068703595348]"
105,840,7.010182e+01,7.046769e+01,"[0.14717774373655387, 0.14108780930406947, -0.0009999991605648413, 0.03235618056021263]"
106,848,7.009301e+01,7.033481e+01,"[0.1472275979826064, 0.14117046882143847, -0.0010030932434042313, 0.0325867509594014]"
107,856,7.004292e+01,7.025230e+01,"[0.14736499865543268, 0.1410353896589174, -0.0010969404470378545, 0.032012796304296626]"
108,864,7.008208e+01,7.029045e+01,"[0.14731245312722052, 0.14097300520968933, -0.001054551363080321, 0.03138174797934078]"
109,872,7.017926e+01,7.036430e+01,"[0.14721255842381187, 0.14095387732643766, -0.0009375836416888974, 0.03130796097713941]"
110,880,7.011061e+01,7.035962e+01,"[0.147274338281727, 0.14099790943576196, -0.001002910245190111, 0.03095398986469859]"
111,888,7.003037e+01,7.037140e+01,"[0.14733512732089366, 0.1410178905213299, -0.001045529481470488, 0.030956324585623973]"
112,896,7.017785e+01,7.032114e+01,"[0.1472896636801945, 0.14109712431217733, -0.0010151800259712226, 0.031272061768932824]"
113,904,7.005196e+01,7.022229e+01,"[0.1472635951291637, 0.1411572561810847, -0.0009657727406154335, 0.0314581402861924]"
114,912,7.007628e+01,7.029989e+01,"[0.14724416046650923, 0.1411206577231243, -0.0009326334727412563, 0.031597870536604865]"
115,920,7.010970e+01,7.031939e+01,"[0.1472722186731149, 0.14107658721765634, -0.00100135618041703, 0.031058902295679147]"
116,928,7.008208e+01,7.023244e+01,"[0.14735798813575426, 0.14103435882394663, -0.001045966614868381, 0.030970970063422205]"
117,936,7.001487e+01,7.027170e+01,"[0.1475069609051826, 0.14098598662926018, -0.001190564331964151, 0.0307705840576266]"
118,944,6.999044e+01,7.025673e+01,"[0.1476104203798177, 0.1409493221144439, -0.0012956957924799885, 0.030505898772038048]"
119,952,7.006985e+01,7.025388e+01,"[0.14752305813921182, 0.14096912010315438, -0.0011908042363818674, 0.0303789939086567]"
120,960,7.005160e+01,7.023256e+01,"[0.14752351671726344, 0.14094877786781113, -0.0011788994693767503, 0.03035047666161503]"
121,968,6.999044e+01,7.020825e+01,"[0.147508943652937, 0.14094673549292658, -0.0011765962660162783, 0.03011250592791076]"
122,976,7.000431e+01,7.028746e+01,"[0.14758323466829565, 0.14092080864452344, -0.0012307702805151896, 0.029626318012043542]"
123,984,6.996649e+01,7.015729e+01,"[0.14759193880130222, 0.1409418308679244, -0.0012889710556089312, 0.02956136068323222]"
124,992,6.997763e+01,7.015447e+01,"[0.14752141196687013, 0.14093589195415956, -0.001224044978376228, 0.029697203639214728]"
125,1000,6.994251e+01,7.014192e+01,"[0.14755075150473157, 0.1409424443093166, -0.0012505587717963776, 0.02934401807284847]"
126,1008,6.999290e+01,7.020300e+01,"[0.14757601005023507, 0.1409250625415432, -0.0013166993923025851, 0.029321270633866393]"
127,1016,6.995866e+01,7.005269e+01,"[0.14759382862615064, 0.14095303190236916, -0.0013288587192146373, 0.029513684009798792]"
128,1024,6.996649e+01,7.014396e+01,"[0.1476076045994839, 0.1409244355945656, -0.001342615207698856, 0.02945202454167266]"
129,1032,6.996649e+01,7.009200e+01,"[0.14759843671744036, 0.140933518507265, -0.0013544434888477837, 0.029454177435950663]"
130,1040,6.997763e+01,7.017679e+01,"[0.14756049019921552, 0.140941628469323, -0.0012951599971456917, 0.029424857986074623]"
131,1048,6.997763e+01,7.014281e+01,"[0.14758865326413761, 0.1409332685115603, -0.0013021823907259195, 0.029377906762580907]"
132,1056,6.996649e+01,7.007249e+01,"[0.14758146650610174, 0.14093150943175387, -0.0012826830522947772, 0.029669414849641845]"
133,1064,6.994845e+01,6.999861e+01,"[0.14759208179490535, 0.14091649999355357, -0.0013175912169579168, 0.029463619474489156]"
134,1072,6.994845e+01,7.005286e+01,"[0.14758577041350557, 0.1409230772930058, -0.0013144523004286878, 0.029382932673532567]"
135,1080,6.994845e+01,7.006936e+01,"[0.1475932201766987, 0.140927806474155, -0.0013250382320419663, 0.029346259486967403]"
136,1088,6.993795e+01,6.998351e+01,"[0.14760610921779777, 0.14092481953336855, -0.0013446943187257329, 0.02918921130065677]"
137,1096,6.993795e+01,6.997090e+01,"[0.14761864721756643, 0.1409253671326753, -0.0013525375654757437, 0.029096680229472385]"
138,1104,6.997642e+01,7.013035e+01,"[0.14762939166994035, 0.1409269013475285, -0.0013749252878644258, 0.029103234500956775]"
139,1112,6.995032e+01,7.015772e+01,"[0.14762748225616795, 0.1409286424109647, -0.0013809139233804729, 0.029114982459316537]"
140,1120,6.996081e+01,7.004849e+01,"[0.14761280450361083, 0.14092285477016614, -0.0013708285833021706, 0.029220492089767312]"
141,1128,6.994845e+01,7.000991e+01,"[0.14759697209417402, 0.14091563227463652, -0.0013543377011141105, 0.02924403861182358]"
142,1136,6.996081e+01,7.000852e+01,"[0.1475966342719178, 0.14092100713063738, -0.001364739360196821, 0.029198389112165]"
143,1144,6.994845e+01,7.002134e+01,"[0.14758989073412065, 0.1409128266854464, -0.001343541050002022, 0.029264746965188167]"
144,1152,6.994845e+01,7.003472e+01,"[0.14759622661152644, 0.14091594041888075, -0.001333723331974855, 0.029319621963438045]"
145,1160,6.994845e+01,7.009901e+01,"[0.1476009706870124, 0.14092548889430268, -0.0013448094371519028, 0.029175249929730668]"
146,1168,6.994845e+01,6.999903e+01,"[0.14759114931009953, 0.14092537482717, -0.0013254507779369537, 0.02926806632540388]"
147,1176,6.994845e+01,7.000897e+01,"[0.14758426690520549, 0.14091687938636593, -0.0013162709269625475, 0.029327301670633656]"
148,1184,6.994845e+01,6.996342e+01,"[0.14758067484457071, 0.1409196857579763, -0.0013157464340994452, 0.029301231767790505]"
149,1192,6.994845e+01,6.995574e+01,"[0.14758932727682944, 0.14091932896372933, -0.0013235402767732174, 0.02932861220959916]"
150,1200,6.994845e+01,6.995574e+01,"[0.14758763784198722, 0.14092321007892006, -0.00131274874903993, 0.029372012695898127]"
151,1208,6.994251e+01,6.997979e+01,"[0.14759603182744857, 0.14092379071436267, -0.0013217994724508313, 0.0293893019121613]"
152,1216,6.994251e+01,6.994770e+01,"[0.1476161392184291, 0.14092253940586322, -0.0013364688447185368, 0.02928663752467972]"
153,1224,6.994251e+01,7.003231e+01,"[0.1476246519611854, 0.14092485555845494, -0.0013338859010018852, 0.02933042746534996]"
154,1232,6.993596e+01,6.995273e+01,"[0.1476562426972047, 0.14091780020460606, -0.0013561965914994346, 0.029201322809154107]"
155,1240,6.994251e+01,7.011280e+01,"[0.1476625575690624, 0.14091554445534665, -0.001349580266703941, 0.029405649533861766]"
156,1248,6.995866e+01,7.000903e+01,"[0.14764361311616228, 0.1409251856281689, -0.0013286757357867563, 0.029347615364954893]"
157,1256,6.994845e+01,7.008696e+01,"[0.14761587904260798, 0.14092488374878448, -0.0013075403969539361, 0.02933327860224933]"
158,1264,6.994251e+01,7.000688e+01,"[0.14761171303295112, 0.14092078866437815, -0.00131193132721537, 0.02937217194520282]"
159,1272,6.994823e+01,6.998480e+01,"[0.1476254429775506, 0.1409256272202848, -0.0013298992961384543, 0.029263140455025725]"
160,1280,6.994251e+01,7.000289e+01,"[0.14762082771201832, 0.14092368661796403, -0.0013225187918586153, 0.029307836243780472]"
161,1288,6.994251e+01,6.997820e+01,"[0.14761713702596724, 0.1409218862923681, -0.0013105018745106917, 0.029374366356751065]"
162,1296,6.994251e+01,6.995825e+01,"[0.1476205360616364, 0.14092244029643175, -0.0013216114188219167, 0.029302505214655244]"
163,1304,6.994251e+01,6.997540e+01,"[0.1476188851896278, 0.14092310556553314, -0.0013267983879849744, 0.029269141189933266]"
164,1312,6.994251e+01,6.997711e+01,"[0.14761263444607253, 0.14092171577606666, -0.0013128562851831569, 0.029343495482313246]"
165,1320,6.994251e+01,6.994848e+01,"[0.14761462157890284, 0.14092155304818466, -0.0013109644880263008, 0.029358685301325585]"
166,1328,6.994251e+01,6.994325e+01,"[0.14760550611628614, 0.1409218435134451, -0.0013028320216048996, 0.029425760178897267]"
167,1336,6.994251e+01,6.995150e+01,"[0.14760912410814975, 0.14092177000956307, -0.0013065833212759013, 0.029442660044960267]"
168,1344,6.994251e+01,6.995150e+01,"[0.14760692627799477, 0.1409203027265261, -0.0013081852666767704, 0.029442589552228705]"
169,1352,6.994251e+01,6.995672e+01,"[0.14761110803082697, 0.1409194578276499, -0.0013120914874267284, 0.02940920883227386]"
170,1360,6.994251e+01,6.994325e+01,"[0.14761272036879122, 0.14091979518818148, -0.0013173526111394987, 0.029383622377902055]"
171,1368,6.994251e+01,6.994625e+01,"[0.14761486273146512, 0.14092036621765675, -0.0013170845690061086, 0.02941776579860271]"
172,1376,6.994251e+01,6.994251e+01,"[0.1476194783964219, 0.14092030301253874, -0.0013222797083665679, 0.029414858554992995]"
173,1384,6.994251e+01,6.994251e+01,"[0.14761960363748164, 0.14092021586996312, -0.0013185704145716923, 0.029404154363094695]"
174,1392,6.994251e+01,6.995150e+01,"[0.14761906239001502, 0.1409193782278318, -0.001322350181428917, 0.02938234399391505]"
175,1400,6.994251e+01,6.994251e+01,"[0.1476159633382778, 0.1409192353328506, -0.0013180694166531977, 0.02940700488446619]"
176,1408,6.994251e+01,6.994551e+01,"[0.14761563050545592, 0.14092074528239082, -0.0013190935532745775, 0.029406190963780922]"
177,1416,6.994251e+01,6.994251e+01,"[0.14761610078943638, 0.140922503775202, -0.001319850007866054, 0.029374417051523955]"
178,1424,6.994251e+01,6.994251e+01,"[0.14761629826273853, 0.14092134627609565, -0.001318996837278455, 0.029385357500508465]"
179,1432,6.994251e+01,6.994551e+01,"[0.1476184546170284, 0.14092103173950152, -0.0013198283240695567, 0.029395401074864116]"
180,1440,6.994251e+01,6.994251e+01,"[0.14761766014644445, 0.14092065324905229, -0.0013185606588499094, 0.029416052523041768]"
181,1448,6.994251e+01,6.994251e+01,"[0.14761769755782858, 0.1409187172444711, -0.0013180437896494705, 0.02942856934318299]"
182,1456,6.994251e+01,6.994251e+01,"[0.14761719041695587, 0.14091898098797634, -0.001316529829507152, 0.029432234879152648]"
183,1464,6.994251e+01,6.994851e+01,"[0.14761724134338175, 0.1409176394909319, -0.0013149930013292626, 0.029440647035492783]"
184,1472,6.994251e+01,6.994851e+01,"[0.1476157784846217, 0.14091738349334987, -0.001314796066615709, 0.02945280633081669]"
185,1480,6.994251e+01,6.996049e+01,"[0.1476151030168189, 0.14091823123560665, -0.001315765729883867, 0.029451275040804067]"
186,1488,6.994251e+01,6.995150e+01,"[0.1476160239842092, 0.14091746797283258, -0.001318739155778596, 0.029433314030916778]"
187,1496,6.994251e+01,6.994551e+01,"[0.14761572245232757, 0.14091698707713807, -0.0013181800984958594, 0.029420388825495906]"
188,1504,6.994251e+01,6.994251e+01,"[0.1476155727310798, 0.1409154397950442, -0.001317592387701327, 0.029415201361654715]"
189,1512,6.994251e+01,6.994251e+01,"[0.1476124095256087, 0.1409138860078834, -0.0013133896091792525, 0.029441463821546658]"
190,1520,6.994251e+01,6.994851e+01,"[0.14760813068711706, 0.1409115660283521, -0.0013090368884245208, 0.02945591762438069]"
191,1528,6.994251e+01,6.995313e+01,"[0.14760766241417414, 0.14091275470853337, -0.001304331357127146, 0.029462104748571923]"
192,1536,6.994251e+01,6.995150e+01,"[0.14760964298996, 0.14091873131908003, -0.0013067676636428294, 0.029405606498301394]"
193,1544,6.994251e+01,6.998068e+01,"[0.1476087589991772, 0.14091762399245414, -0.0013107137557231215, 0.029384311171444303]"
194,1552,6.994251e+01,6.994699e+01,"[0.1476135223901777, 0.14091622187656205, -0.001308755864970934, 0.02939251579181862]"
195,1560,6.994251e+01,6.994325e+01,"[0.14761204756667606, 0.14091553850522065, -0.0013078010483361792, 0.0294170876186617]"
196,1568,6.994251e+01,6.994251e+01,"[0.14761571570664767, 0.1409198918305523, -0.001312421160233895, 0.02940893559562937]"
197,1576,6.994251e+01,6.997694e+01,"[0.14761552569788897, 0.14092204717261772, -0.0013152124800237708, 0.029370531792457223]"
198,1584,6.994251e+01,7.000239e+01,"[0.14761465636321341, 0.14092241372587766, -0.0013171444514088473, 0.029385394723321273]"
199,1592,6.994251e+01,6.994551e+01,"[0.14760748807333024, 0.1409176571893679, -0.0013092999224638903, 0.02940421433597186]"
200,1600,6.994251e+01,6.994400e+01,"[0.14760860812419782, 0.1409147114196062, -0.001310662133616237, 0.029404196271792846]"
201,1608,6.994251e+01,6.994474e+01,"[0.14761216651527487, 0.14091297684767567, -0.0013103099633575924, 0.02941974512402354]"
202,1616,6.994251e+01,6.994325e+01,"[0.1476108625223329, 0.1409145485289016, -0.0013096582702212737, 0.02942552323464135]"
203,1624,6.994251e+01,6.994325e+01,"[0.1476133712515444, 0.1409150071265901, -0.0013119741172802099, 0.029409910113607086]"
204,1632,6.994251e+01,6.994251e+01,"[0.14761176838481221, 0.14091376763786906, -0.0013104312556521218, 0.029435252052167335]"
205,1640,6.994251e+01,6.994251e+01,"[0.14761335180078566, 0.1409126584693148, -0.0013113737688117792, 0.029428910868763578]"
206,1648,6.994251e+01,6.994251e+01,"[0.1476151324564016, 0.14091218136602196, -0.0013119303783012324, 0.02942800588471722]"
207,1656,6.994251e+01,6.994251e+01,"[0.1476147148809664, 0.14091254076235554, -0.0013130077459172019, 0.02943149346026836]"
208,1664,6.994251e+01,6.994251e+01,"[0.1476158539459136, 0.140912816578157, -0.001313607886001562, 0.029416219614810876]"
209,1672,6.994251e+01,6.994251e+01,"[0.14761817896828588, 0.14091289267834017, -0.001315317877227834, 0.029410881335103556]"
210,1680,6.994251e+01,6.994251e+01,"[0.14761931523336347, 0.14091232999397188, -0.0013177991896336976, 0.029405766559180604]"
211,1688,6.994251e+01,6.994251e+01,"[0.1476150615546796, 0.140912603042039, -0.0013155904537312474, 0.02941198266031951]"
212,1696,6.994251e+01,6.994251e+01,"[0.14761395697571536, 0.14091390133397125, -0.0013151686129362838, 0.029401824057095474]"
213,1704,6.994251e+01,6.994251e+01,"[0.1476143397290257, 0.14091392700782268, -0.0013139725562529578, 0.02940764406478509]"
214,1712,6.994251e+01,6.994251e+01,"[0.14761316401256847, 0.14091359589889962, -0.0013121854249874138, 0.029419296681300694]"
215,1720,6.994251e+01,6.994251e+01,"[0.14761423674817103, 0.1409144561390972, -0.0013122307377470735, 0.029415370243576926]"
216,1728,6.994251e+01,6.994251e+01,"[0.1476160890399173, 0.1409153831505758, -0.0013132102412666707, 0.029410757197073333]"
217,1736,6.994251e+01,6.994251e+01,"[0.14761766500172616, 0.140916596950331, -0.0013152878497480012, 0.02940343552723291]"
