generation,evals,best_fitness,mean_fitness,params
1,20,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
2,40,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
3,60,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
4,80,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
5,100,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
6,120,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
7,140,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
8,160,7.585429e+01,7.585429e+01,"[0.195, 0.1, -0.053, 0.0]"
